# Alert applicability: the systems each declaration's rule covers.
# Each cell is Y where the declaration applies and . where it does not.
# Generated by test_applicability_matrix.py -- do not edit by hand.
#
# Kinds: class  -- the class applies: displayed, sent, and offered in the catalogue
#        listed -- the class is offered in the settings catalogue, which listed_only_when narrows
#        source -- the source's rule admits this system. Whether it is actually ran also
#                  turns on gates this matrix does not model: post_failover_blackout,
#                  require_stable_peer, the source's schedule, and source locks.
#
# Populations:
#   G    GENERIC     unlicensed            whitebox, unlicensed
#   C0   MINI        unlicensed            Mini, unlicensed
#   C    MINI        licensed              Mini with a MINI-R license
#   A    TRUENAS_HW  unlicensed            iX appliance reading MANUAL, unlicensed (R-series)
#   B    TRUENAS_HW  licensed              iX appliance with a FREENAS-CERTIFIED license
#   Di   GENERIC     licensed              whitebox with a transplanted M50 license
#   HA   TRUENAS_HW  licensed   ha_capable iX appliance with an HA license

DECLARATION                                 KIND    G   C0  C   A   B   Di  HA
UPSCommok                                   listed  Y   Y   Y   Y   Y   Y   Y
UPSOnBattery                                class   Y   Y   Y   Y   Y   Y   Y
UPSOnBattery                                listed  Y   Y   Y   Y   Y   Y   Y
UPSOnline                                   class   Y   Y   Y   Y   Y   Y   Y
UPSOnline                                   listed  Y   Y   Y   Y   Y   Y   Y
UPSReplbatt                                 class   Y   Y   Y   Y   Y   Y   Y
UPSReplbatt                                 listed  Y   Y   Y   Y   Y   Y   Y
USBStorage                                  class   .   .   .   Y   Y   .   Y
USBStorage                                  listed  .   .   .   Y   Y   .   Y
USBStorage                                  source  .   .   .   Y   Y   .   Y
UnencryptedDatasets                         source  Y   Y   Y   Y   Y   Y   Y
VMWareLoginFailed                           class   Y   Y   Y   Y   Y   Y   Y
VMWareLoginFailed                           listed  Y   Y   Y   Y   Y   Y   Y
VMWareSnapshotCreateFailed                  class   Y   Y   Y   Y   Y   Y   Y
VMWareSnapshotCreateFailed                  listed  Y   Y   Y   Y   Y   Y   Y
VMWareSnapshotDeleteFailed                  class   Y   Y   Y   Y   Y   Y   Y
VMWareSnapshotDeleteFailed                  listed  Y   Y   Y   Y   Y   Y   Y
VRRPStatesDoNotAgree                        class   .   .   .   Y   Y   .   Y
VRRPStatesDoNotAgree                        listed  .   .   .   .   .   .   Y
VSeriesUnstampedSPD                         class   .   .   .   Y   Y   .   Y
VSeriesUnstampedSPD                         listed  .   .   .   Y   Y   .   Y
VSeriesUnstampedSPD                         source  .   .   .   Y   Y   .   Y
VolumeStatus                                class   Y   Y   Y   Y   Y   Y   Y
VolumeStatus                                listed  Y   Y   Y   Y   Y   Y   Y
VolumeStatus                                source  Y   Y   Y   Y   Y   Y   Y
WebUiCertificateSetupFailed                 class   Y   Y   Y   Y   Y   Y   Y
WebUiCertificateSetupFailed                 listed  Y   Y   Y   Y   Y   Y   Y
WebUiRootLogin                              class   Y   Y   Y   Y   Y   Y   Y
WebUiRootLogin                              listed  Y   Y   Y   Y   Y   Y   Y
ZpoolCapacity                               source  Y   Y   Y   Y   Y   Y   Y
ZpoolCapacityCritical                       class   Y   Y   Y   Y   Y   Y   Y
ZpoolCapacityCritical                       listed  Y   Y   Y   Y   Y   Y   Y
ZpoolCapacityNotice                         class   Y   Y   Y   Y   Y   Y   Y
ZpoolCapacityNotice                         listed  Y   Y   Y   Y   Y   Y   Y
ZpoolCapacityWarning                        class   Y   Y   Y   Y   Y   Y   Y
ZpoolCapacityWarning                        listed  Y   Y   Y   Y   Y   Y   Y
